date,machine_name,region_id,genotype,incubator,sex,status
2016-01-14,ETHOSCOPE_031,1,CS,7,F,OK
2016-01-14,ETHOSCOPE_031,2,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,3,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,4,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,5,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,6,CS,7,F,OK
2016-01-14,ETHOSCOPE_031,7,CS,7,U,deadfly
2016-01-14,ETHOSCOPE_031,8,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_031,9,CS,7,F,OK
2016-01-14,ETHOSCOPE_031,10,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,11,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,12,CS,7,F,OK
2016-01-14,ETHOSCOPE_031,13,CS,7,F,OK
2016-01-14,ETHOSCOPE_031,14,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,15,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_031,16,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,17,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,18,CS,7,M,OK
2016-01-14,ETHOSCOPE_031,19,CS,7,F,OK
2016-01-14,ETHOSCOPE_031,20,CS,7,F,OK
2016-01-15,ETHOSCOPE_018,1,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,2,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_018,3,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,4,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,5,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,6,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,7,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,8,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,9,PERSH,4,U,deadfly
2016-01-15,ETHOSCOPE_018,10,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,11,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,12,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,13,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,14,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,15,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,16,PERSH,4,U,deadfly
2016-01-15,ETHOSCOPE_018,17,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_018,18,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,19,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_018,20,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,1,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,2,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_019,3,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_019,4,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,5,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,6,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_019,7,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,8,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,9,PERSH,4,F,OK
